                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0206,                  1.068,                 1.4223,                0.73758,                0.67496,                0.70986,                0.53587,                0.97749,                 0.7708,                 1.3606,              0.0092699,              0.0092699,              0.0092699
                     62,                 1.0223,                 1.0665,                 1.4205,                0.75139,                 0.6514,                0.70724,                0.54372,                 0.9623,                 0.7618,                 1.3452,              0.0092575,              0.0092575,              0.0092575
                     63,                  1.025,                 1.0817,                 1.4259,                0.73231,                0.67095,                0.70336,                0.54153,                0.97248,                0.76235,                 1.3511,              0.0092451,              0.0092451,              0.0092451
                     64,                 1.0036,                 1.0347,                 1.4037,                0.75363,                0.65806,                0.70693,                 0.5439,                0.96187,                0.74735,                 1.3415,              0.0092327,              0.0092327,              0.0092327
                     65,                 1.0249,                 1.0598,                 1.4128,                0.71384,                0.68427,                0.71149,                0.54528,                0.95401,                0.74457,                 1.3393,              0.0092204,              0.0092204,              0.0092204
                     66,                 1.0121,                 1.0519,                 1.4094,                0.76117,                0.67162,                0.71703,                0.55641,                0.95237,                0.73208,                 1.3375,               0.009208,               0.009208,               0.009208
                     67,                 1.0149,                 1.0516,                 1.4098,                0.75944,                0.65514,                0.71249,                0.54876,                0.95839,                0.74534,                 1.3393,              0.0091956,              0.0091956,              0.0091956
                     68,                 1.0058,                 1.0342,                 1.3993,                0.73102,                0.68524,                0.71706,                0.55287,                0.94653,                0.72777,                  1.324,              0.0091833,              0.0091833,              0.0091833
                     69,                 1.0122,                 1.0493,                 1.4033,                0.75963,                0.66131,                0.71347,                0.54998,                0.96315,                0.73266,                 1.3376,              0.0091709,              0.0091709,              0.0091709
                     70,                 1.0122,                 1.0413,                 1.4019,                0.74952,                0.67367,                0.71431,                0.54971,                0.95312,                0.74193,                 1.3312,              0.0091585,              0.0091585,              0.0091585
                     71,                 1.0172,                 1.0526,                 1.4098,                0.76465,                0.66761,                0.71508,                0.55327,                0.93697,                0.72248,                 1.3174,              0.0091461,              0.0091461,              0.0091461
                     72,                 1.0142,                 1.0164,                 1.4002,                0.72855,                0.68183,                 0.7147,                0.54961,                0.93317,                0.71028,                  1.316,              0.0091337,              0.0091337,              0.0091337
                     73,                0.98618,                 1.0099,                 1.3823,                0.71489,                0.69947,                0.71455,                0.55636,                 0.9484,                0.71146,                 1.3281,              0.0091214,              0.0091214,              0.0091214
                     74,                0.99346,                 1.0029,                 1.3872,                0.76075,                0.66532,                0.72327,                0.55936,                 0.9351,                0.71112,                 1.3179,               0.009109,               0.009109,               0.009109
                     75,                0.98981,                 1.0006,                 1.3798,                 0.7624,                0.66497,                0.71681,                0.55379,                0.92771,                0.71985,                 1.3129,              0.0090966,              0.0090966,              0.0090966
                     76,                 1.0012,                 1.0111,                 1.3928,                0.73464,                0.68793,                0.71987,                0.56011,                0.93201,                0.70033,                 1.3098,              0.0090843,              0.0090843,              0.0090843
